constraint,binding,count
DemandAdequacy,Binding,15299
DemandAdequacy,Non-binding,1501
ProductionCost,Binding,20
TotalCapacityFunction,Binding,217
TotalCapacityFunction,Non-binding,183
RetrofitResidualCapacityFunction,Binding,90
RetrofitResidualCapacityFunction,Non-binding,50
ResidualCapacityFunction,Non-binding,152
ResidualCapacityFunction,Binding,268
ProductionFunction_res,Binding,45719
ProductionFunction_res,Non-binding,4681
UseFunction,Non-binding,308800
UseFunction,Binding,27200
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,47
TotalStorageCapacityFunction,Non-binding,13
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79497
ImportExportBalance,Non-binding,4503
ProductionFuntion_disp,Binding,80425
ProductionFuntion_disp,Non-binding,205175
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,3
TotalSequesterLimitFunction,Non-binding,2
MaxCapacityFunction,Binding,82
MaxCapacityFunction,Non-binding,318
StorageChargeFunction,Non-binding,6539
StorageChargeFunction,Binding,661
StorageDischargeFunction,Non-binding,6303
StorageDischargeFunction,Binding,897
MaxStorageLevelFunction,Non-binding,7028
MaxStorageLevelFunction,Binding,172
StorageMaxCapacityConstraint,Non-binding,27
StorageMaxCapacityConstraint,Binding,33
MaxImportFunction,Non-binding,65328
MaxImportFunction,Binding,18672
TotalCost,Non-binding,20
Production,Non-binding,142416
Production,Binding,193584
NewCapacity,Non-binding,176
NewCapacity,Binding,224
ResidualCapacity,Non-binding,604
ResidualCapacity,Binding,96
TotalCapacity,Non-binding,369
TotalCapacity,Binding,31
Use,Binding,278780
Use,Non-binding,57220
Curtailment,Binding,15299
Curtailment,Non-binding,1501
TotalStorageEnergyCapacity,Binding,2
TotalStorageEnergyCapacity,Non-binding,58
NewStorageEnergyCapacity,Non-binding,54
NewStorageEnergyCapacity,Binding,6
StorageCharge,Binding,5762
StorageCharge,Non-binding,1438
StorageDischarge,Binding,4638
StorageDischarge,Non-binding,2562
StorageLevel,Non-binding,6913
StorageLevel,Binding,287
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,51265
Import,Binding,32735
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
