constraint,binding,count
DemandAdequacy,Binding,15282
DemandAdequacy,Non-binding,1518
ProductionCost,Binding,20
TotalCapacityFunction,Binding,209
TotalCapacityFunction,Non-binding,191
RetrofitResidualCapacityFunction,Binding,91
RetrofitResidualCapacityFunction,Non-binding,49
ResidualCapacityFunction,Non-binding,153
ResidualCapacityFunction,Binding,267
ProductionFunction_res,Binding,45442
ProductionFunction_res,Non-binding,4958
UseFunction,Non-binding,308733
UseFunction,Binding,27267
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,43
TotalStorageCapacityFunction,Non-binding,17
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79446
ImportExportBalance,Non-binding,4554
ProductionFuntion_disp,Binding,80978
ProductionFuntion_disp,Non-binding,204622
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,4
TotalSequesterLimitFunction,Non-binding,1
MaxCapacityFunction,Binding,84
MaxCapacityFunction,Non-binding,316
StorageChargeFunction,Non-binding,6640
StorageChargeFunction,Binding,560
StorageDischargeFunction,Non-binding,6210
StorageDischargeFunction,Binding,990
MaxStorageLevelFunction,Non-binding,7037
MaxStorageLevelFunction,Binding,163
StorageMaxCapacityConstraint,Non-binding,28
StorageMaxCapacityConstraint,Binding,32
MaxImportFunction,Non-binding,64435
MaxImportFunction,Binding,19565
TotalCost,Non-binding,20
Production,Non-binding,142351
Production,Binding,193649
NewCapacity,Non-binding,181
NewCapacity,Binding,219
ResidualCapacity,Non-binding,607
ResidualCapacity,Binding,93
TotalCapacity,Non-binding,370
TotalCapacity,Binding,30
Use,Binding,278373
Use,Non-binding,57627
Curtailment,Binding,15282
Curtailment,Non-binding,1518
TotalStorageEnergyCapacity,Non-binding,59
TotalStorageEnergyCapacity,Binding,1
NewStorageEnergyCapacity,Non-binding,55
NewStorageEnergyCapacity,Binding,5
Import,Non-binding,52073
Import,Binding,31927
StorageDischarge,Non-binding,2528
StorageDischarge,Binding,4672
StorageLevel,Non-binding,6963
StorageLevel,Binding,237
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
StorageCharge,Binding,5971
StorageCharge,Non-binding,1229
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
