Year,Region,Technology,value
2020,FR,GasPowerPlantCC,30.225282685760007
2030,FR,GasPowerPlantCC,27.221363252591786
2040,FR,GasPowerPlantCC,16.405794740698344
2020,NO,GasPowerPlantCC,684.7518300289536
2030,NO,GasPowerPlantCC,605.8591846004019
2040,NO,GasPowerPlantCC,305.73352833287225
2020,FR,CoalCHPPlantCC,1042.8077581390583
2030,FR,CoalCHPPlantCC,721.7889772104982
2040,FR,CoalCHPPlantCC,108.79873473947556
2020,DK,CoalCHPPlantCC,73.86464000000001
2020,UK,CoalCHPPlantCC,2979.7898806133667
2030,UK,CoalCHPPlantCC,2176.0679276015517
2040,UK,CoalCHPPlantCC,743.2336070056917
2020,DE,GasCHPPlantCC,1715.336540057775
2030,DE,GasCHPPlantCC,1360.3067077347516
2040,DE,GasCHPPlantCC,989.4537615210955
2050,DE,GasCHPPlantCC,273.02990686376336
2020,FR,GasCHPPlantCC,113.56399872946871
2030,FR,GasCHPPlantCC,177.86752263030866
2040,FR,GasCHPPlantCC,482.145430909061
2050,FR,GasCHPPlantCC,193.6919628000001
2020,NO,GasCHPPlantCC,245.56309734062174
2030,NO,GasCHPPlantCC,260.111563282889
2040,NO,GasCHPPlantCC,230.51723391599126
2050,NO,GasCHPPlantCC,69.12595620000002
2020,DK,GasCHPPlantCC,502.817717082575
2030,DK,GasCHPPlantCC,725.6585882468274
2040,DK,GasCHPPlantCC,665.3365848000005
2050,DK,GasCHPPlantCC,298.7594770582443
2020,UK,GasCHPPlantCC,80.94168330459888
2030,UK,GasCHPPlantCC,214.5123807311182
2040,UK,GasCHPPlantCC,831.1937981152472
2050,UK,GasCHPPlantCC,299.9138226959479
2020,FR,BECCS,255.81572014963868
2030,FR,BECCS,429.24577595000756
2040,FR,BECCS,600.0
2050,FR,BECCS,485.709012748
2030,NO,BECCS,215.0
2040,NO,BECCS,300.0
2050,NO,BECCS,421.41723352825
2030,DK,BECCS,211.46567300533334
2040,DK,BECCS,230.0
2050,DK,BECCS,390.0
2030,UK,BECCS,400.14878295975154
2040,UK,BECCS,600.0
2050,UK,BECCS,305.0
