technology,fuel,value
CoalPowerPlant,Coal,1
GasPowerPlant,Gas,1
CoalCHPPlant,Coal,1
GasCHPPlant,Gas,1
Power2Gas,Power,2
H2Car,H2,1
BEV,Power,1.1
LPGCar,Gas,1
BECCS,Biomass,2
ElectricHeater,Power,1.1
CoalPowerPlantCC,Coal,1
GasPowerPlantCC,Gas,1
CoalCHPPlantCC,Coal,1
GasCHPPlantCC,Gas,1
