technology,value
SolarPV,0
CoalMine,0
GasExtractor,0
CoalPowerPlant,0
GasPowerPlant,0
CoalCHPPlant,0
GasCHPPlant,0
CoalPowerPlantCC,1
GasPowerPlantCC,1
CoalCHPPlantCC,1
GasCHPPlantCC,1
Power2Gas,0
H2Car,0
BEV,0
LPGCar,0
WindOnshore,0
BECCS,0
BiomassGenerator,0
WindOffshore,0
ElectricHeater,0
