Year,Region,Technology,value
2040,NO,CoalCHPPlant,0.0
2050,NO,CoalCHPPlant,-0.0
2020,DK,CoalCHPPlant,9.0
2030,DK,CoalCHPPlant,9.0
2040,DK,CoalCHPPlant,6.75
2050,DK,CoalCHPPlant,1.6875
2020,UK,CoalCHPPlant,91.605
2030,UK,CoalCHPPlant,91.605
2040,UK,CoalCHPPlant,69.105
2050,UK,CoalCHPPlant,18.480000000000004
2020,DE,GasCHPPlant,189.18000000000004
2030,DE,GasCHPPlant,198.639
2040,DE,GasCHPPlant,208.57095
2050,DE,GasCHPPlant,107.32095000000001
2020,FR,GasCHPPlant,15.105914933333334
2030,FR,GasCHPPlant,26.124000000000002
2040,FR,GasCHPPlant,36.136756232679296
2050,FR,GasCHPPlant,33.82156875
2020,NO,GasCHPPlant,0.22666666666666746
2030,NO,GasCHPPlant,0.22666666666666746
2040,NO,GasCHPPlant,-0.0
2050,NO,GasCHPPlant,-0.0
2020,DK,GasCHPPlant,26.360666666666667
2030,DK,GasCHPPlant,34.337304087577955
2040,DK,GasCHPPlant,36.074004087577954
2050,DK,GasCHPPlant,23.417754087577954
2020,UK,GasCHPPlant,18.0
2030,UK,GasCHPPlant,26.3983089418
2040,UK,GasCHPPlant,21.8983089418
2050,UK,GasCHPPlant,11.7733089418
2020,DE,CoalPowerPlantCC,0.0
2030,DE,CoalPowerPlantCC,0.0
2040,DE,CoalPowerPlantCC,0.0
2050,DE,CoalPowerPlantCC,0.0
2020,FR,CoalPowerPlantCC,0.0
