Year,Region,Technology,value
2020,NO,GasPowerPlantCC,648.8881169318691
2030,NO,GasPowerPlantCC,566.5636699419558
2040,NO,GasPowerPlantCC,234.47702849700372
2020,FR,CoalCHPPlantCC,2022.48264005671
2030,FR,CoalCHPPlantCC,1299.4020632045474
2040,FR,CoalCHPPlantCC,540.712002984637
2020,UK,CoalCHPPlantCC,5421.778333566911
2030,UK,CoalCHPPlantCC,3450.199220692734
2040,UK,CoalCHPPlantCC,2548.6186889568844
2020,DE,GasCHPPlantCC,1438.1052974902934
2030,DE,GasCHPPlantCC,801.8444219858828
2040,DE,GasCHPPlantCC,1596.8591473819915
2050,DE,GasCHPPlantCC,2555.911331418359
2020,FR,GasCHPPlantCC,70.40078189711997
2030,FR,GasCHPPlantCC,332.98836934051155
2040,FR,GasCHPPlantCC,859.3270161086734
2050,FR,GasCHPPlantCC,439.8712640780029
2020,NO,GasCHPPlantCC,518.4201059352614
2030,NO,GasCHPPlantCC,527.1925295760775
2040,NO,GasCHPPlantCC,498.55534843229975
2050,NO,GasCHPPlantCC,146.5657175385589
2020,DK,GasCHPPlantCC,617.6187270187816
2030,DK,GasCHPPlantCC,864.1519300033743
2040,DK,GasCHPPlantCC,1073.5460867769452
2050,DK,GasCHPPlantCC,396.52023971546845
2020,UK,GasCHPPlantCC,50.356879193573846
2030,UK,GasCHPPlantCC,377.6099026925562
2040,UK,GasCHPPlantCC,1212.8986178955095
2050,UK,GasCHPPlantCC,734.3835700183918
