Year,Region,Technology,Hour,Fuel,value
2050,FR,H2Tank,111,H2,182.8673245614035
2040,DK,PHS,66,Power,0.0
2040,DE,H2Tank,49,H2,0.0
2040,NO,H2Tank,60,H2,88.53796312530358
2050,FR,H2Tank,92,H2,113.59413551879327
2020,UK,Battery,2,Power,4.9931902111047615
2020,DK,Battery,50,Power,1.621178034003285
2030,DE,Battery,47,Power,0.0
2050,UK,H2Tank,35,H2,130.0
2040,UK,PHS,5,Power,-0.0
2030,UK,PHS,13,Power,-0.0
2030,DE,PHS,31,Power,-0.0
2020,DE,H2Tank,36,H2,15.634039716315788
2040,FR,Battery,101,Power,388.50198404534507
2040,UK,Battery,8,Power,77.57831725143829
2040,NO,PHS,19,Power,-0.0
2040,DK,H2Tank,10,H2,11.0625
2050,UK,PHS,106,Power,202.82111247771928
2040,FR,H2Tank,106,H2,100.0
2050,DK,PHS,52,Power,67.40890243450997
2050,NO,PHS,11,Power,348.499693511867
2020,NO,Battery,74,Power,0.0
2030,DE,PHS,20,Power,-0.0
2020,FR,Battery,110,Power,25.02501375550177
2030,DK,PHS,31,Power,0.0
2020,FR,Battery,57,Power,25.029250352618654
2050,UK,PHS,88,Power,229.07743106094023
2020,FR,H2Tank,7,H2,7.104404850354216
2050,NO,Battery,37,Power,4.525489951722346
2030,DE,H2Tank,5,H2,35.0
2030,FR,PHS,77,Power,-0.0
2030,UK,Battery,120,Power,75.0
2050,UK,PHS,36,Power,120.62905225143122
2030,DE,Battery,29,Power,-0.0
2030,DE,H2Tank,44,H2,13.157894736842104
2040,NO,Battery,112,Power,-0.0
2050,UK,PHS,81,Power,247.39060041829475
2030,DK,Battery,62,Power,64.08812002976268
2050,NO,PHS,84,Power,475.36468949709877
2030,UK,PHS,89,Power,-0.0
2040,DE,PHS,77,Power,-0.0
2050,FR,PHS,49,Power,393.3436546157838
2040,DK,PHS,21,Power,0.0
2040,NO,Battery,119,Power,-0.0
2040,DE,H2Tank,79,H2,130.0
2020,NO,Battery,110,Power,-0.0
2030,FR,H2Tank,108,H2,38.64835150798249
2030,UK,PHS,74,Power,-0.0
2020,FR,H2Tank,118,H2,20.0
2020,DK,H2Tank,11,H2,0.0
2020,DE,H2Tank,113,H2,29.704675461
2050,FR,H2Tank,63,H2,200.0
2050,FR,PHS,91,Power,563.8867760907783
2030,DK,Battery,29,Power,9.125249859284597
2020,FR,Battery,98,Power,49.910076459215304
2030,UK,H2Tank,43,H2,-0.0
2040,DK,Battery,33,Power,44.256683839331366
2050,FR,H2Tank,23,H2,35.134566706013935
2050,NO,Battery,61,Power,7.9283577860037
2020,NO,H2Tank,95,H2,0.506604960799999
2040,DE,PHS,53,Power,-0.0
2040,NO,Battery,11,Power,-0.0
2020,UK,PHS,77,Power,-0.0
2040,NO,PHS,25,Power,-0.0
2040,UK,H2Tank,95,H2,6.31578947368421
2050,NO,PHS,47,Power,279.64102179728684
2020,FR,H2Tank,24,H2,-0.0
2050,UK,H2Tank,90,H2,120.19958985023477
2030,DK,H2Tank,59,H2,0.0
2040,UK,Battery,6,Power,77.59383524254845
2040,DK,Battery,70,Power,10.989921663903896
2050,NO,H2Tank,79,H2,134.09079293626036
2020,DE,PHS,102,Power,-0.0
2040,UK,PHS,6,Power,-0.0
2040,UK,H2Tank,88,H2,14.210526315789473
2020,DE,H2Tank,25,H2,-0.0
2040,UK,Battery,98,Power,215.22808673097086
2040,FR,H2Tank,49,H2,0.0
2050,NO,PHS,120,Power,450.0
2030,DE,Battery,68,Power,15.429137673166684
2050,DK,Battery,2,Power,143.17742194031624
2030,NO,H2Tank,67,H2,15.607835131069747
2040,UK,H2Tank,26,H2,0.0
2020,DK,Battery,96,Power,21.970911356717483
2050,DK,Battery,47,Power,13.201304222088877
2030,DE,PHS,42,Power,-0.0
2040,DE,H2Tank,9,H2,56.80596658403909
2020,FR,PHS,37,Power,-0.0
