constraint,binding,count
DemandAdequacy,Binding,15365
DemandAdequacy,Non-binding,1435
ProductionCost,Binding,20
TotalCapacityFunction,Binding,211
TotalCapacityFunction,Non-binding,189
RetrofitResidualCapacityFunction,Binding,92
RetrofitResidualCapacityFunction,Non-binding,48
ResidualCapacityFunction,Non-binding,181
ResidualCapacityFunction,Binding,239
ProductionFunction_res,Binding,45901
ProductionFunction_res,Non-binding,4499
UseFunction,Non-binding,308474
UseFunction,Binding,27526
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,41
TotalStorageCapacityFunction,Non-binding,19
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79695
ImportExportBalance,Non-binding,4305
ProductionFuntion_disp,Binding,80981
ProductionFuntion_disp,Non-binding,204619
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,3
TotalSequesterLimitFunction,Non-binding,2
MaxCapacityFunction,Binding,79
MaxCapacityFunction,Non-binding,321
StorageChargeFunction,Non-binding,6676
StorageChargeFunction,Binding,524
StorageDischargeFunction,Non-binding,6107
StorageDischargeFunction,Binding,1093
MaxStorageLevelFunction,Non-binding,7036
MaxStorageLevelFunction,Binding,164
StorageMaxCapacityConstraint,Non-binding,27
StorageMaxCapacityConstraint,Binding,33
MaxImportFunction,Non-binding,65722
MaxImportFunction,Binding,18278
TotalCost,Non-binding,20
Production,Non-binding,144341
Production,Binding,191659
NewCapacity,Non-binding,169
NewCapacity,Binding,231
ResidualCapacity,Non-binding,605
ResidualCapacity,Binding,95
TotalCapacity,Non-binding,369
TotalCapacity,Binding,31
Use,Binding,279774
Use,Non-binding,56226
Curtailment,Binding,15365
Curtailment,Non-binding,1435
TotalStorageEnergyCapacity,Non-binding,58
TotalStorageEnergyCapacity,Binding,2
NewStorageEnergyCapacity,Non-binding,57
NewStorageEnergyCapacity,Binding,3
StorageCharge,Binding,5915
StorageCharge,Non-binding,1285
StorageDischarge,Binding,4444
StorageDischarge,Non-binding,2756
StorageLevel,Non-binding,6940
StorageLevel,Binding,260
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,51742
Import,Binding,32258
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
