Year,Region,Technology,value
2050,UK,CoalPowerPlantCC,2.047250407727475
2020,DE,GasPowerPlantCC,0.0
2030,DE,GasPowerPlantCC,-0.0
2040,DE,GasPowerPlantCC,-0.0
2050,DE,GasPowerPlantCC,0.0
2020,FR,GasPowerPlantCC,3.8068583835999714
2030,FR,GasPowerPlantCC,3.806858383599973
2040,FR,GasPowerPlantCC,2.9068583835999733
2050,FR,GasPowerPlantCC,0.8818583835999732
2020,NO,GasPowerPlantCC,18.2615230595
2030,NO,GasPowerPlantCC,25.212512133062255
2040,NO,GasPowerPlantCC,25.212512133062255
2050,NO,GasPowerPlantCC,10.025012133062257
2020,DK,GasPowerPlantCC,-0.0
2030,DK,GasPowerPlantCC,-0.0
2040,DK,GasPowerPlantCC,0.0
2050,DK,GasPowerPlantCC,0.0
2020,UK,GasPowerPlantCC,2.33115
2030,UK,GasPowerPlantCC,2.33115
2040,UK,GasPowerPlantCC,2.025
2050,UK,GasPowerPlantCC,0.50625
2020,DE,CoalCHPPlantCC,0.0
2030,DE,CoalCHPPlantCC,-0.0
2040,DE,CoalCHPPlantCC,0.0
2050,DE,CoalCHPPlantCC,-0.0
2020,FR,CoalCHPPlantCC,18.993058776670264
2030,FR,CoalCHPPlantCC,18.993058776670264
2040,FR,CoalCHPPlantCC,20.2630052390336
2050,FR,CoalCHPPlantCC,20.263005239033596
2020,NO,CoalCHPPlantCC,0.0
2030,NO,CoalCHPPlantCC,0.0
2040,NO,CoalCHPPlantCC,0.0
2050,NO,CoalCHPPlantCC,-0.0
2020,DK,CoalCHPPlantCC,9.09533333333333
2030,DK,CoalCHPPlantCC,9.09533333333333
2040,DK,CoalCHPPlantCC,6.845333333333331
2050,DK,CoalCHPPlantCC,1.7828333333333308
2020,UK,CoalCHPPlantCC,50.691631856546174
2030,UK,CoalCHPPlantCC,53.21038185654618
2040,UK,CoalCHPPlantCC,70.31586935654619
2050,UK,CoalCHPPlantCC,38.10423750000002
2020,DE,GasCHPPlantCC,59.220000000000006
2030,DE,GasCHPPlantCC,68.67900000000002
2040,DE,GasCHPPlantCC,107.32095000000001
2050,DE,GasCHPPlantCC,152.4592125
2020,FR,GasCHPPlantCC,8.701666666666666
2030,FR,GasCHPPlantCC,15.544166666666666
2040,FR,GasCHPPlantCC,27.32343147135914
2050,FR,GasCHPPlantCC,34.034175000000005
2020,NO,GasCHPPlantCC,10.8
2030,NO,GasCHPPlantCC,11.102
2040,NO,GasCHPPlantCC,11.6571
2050,NO,GasCHPPlantCC,10.040467500000002
2020,DK,GasCHPPlantCC,26.108666666666668
2030,DK,GasCHPPlantCC,34.482
2040,DK,GasCHPPlantCC,36.4707
2050,DK,GasCHPPlantCC,30.93174
2020,UK,GasCHPPlantCC,6.511666666666667
2030,UK,GasCHPPlantCC,14.752521445866668
2040,UK,GasCHPPlantCC,30.204450000000005
2050,UK,GasCHPPlantCC,55.92806308503
2020,DE,Power2Gas,27.752200278267306
2030,DE,Power2Gas,37.15412044849334
2040,DE,Power2Gas,44.7975808892193
2050,DE,Power2Gas,40.91510043750001
2020,FR,Power2Gas,17.418116651236804
2030,FR,Power2Gas,22.916666666666664
2040,FR,Power2Gas,37.28639725375337
2050,FR,Power2Gas,44.55194254044086
2020,NO,Power2Gas,7.200000000000001
2030,NO,Power2Gas,10.625
2040,NO,Power2Gas,10.435787668
2050,NO,Power2Gas,14.322590407124995
2020,DK,Power2Gas,8.1
2030,DK,Power2Gas,12.708333333333334
2040,DK,Power2Gas,20.4952477155
2050,DK,Power2Gas,16.8502477155
2020,UK,Power2Gas,13.5
2030,UK,Power2Gas,18.833333333333336
2040,UK,Power2Gas,32.81608011278651
2050,UK,Power2Gas,33.265477447299766
2020,DE,H2Car,-0.0
2030,DE,H2Car,0.0
2040,DE,H2Car,-0.0
2050,DE,H2Car,0.0
2020,FR,H2Car,-0.0
2030,FR,H2Car,-0.0
2040,FR,H2Car,0.0
2050,FR,H2Car,0.0
2020,NO,H2Car,0.0
2030,NO,H2Car,0.0
2040,NO,H2Car,0.0
2050,NO,H2Car,0.0
2020,DK,H2Car,0.0
2030,DK,H2Car,0.0
2040,DK,H2Car,0.0
2050,DK,H2Car,0.0
2020,UK,H2Car,-0.0
2030,UK,H2Car,-0.0
2040,UK,H2Car,0.0
2050,UK,H2Car,0.0
2020,DE,BEV,0.0
2030,DE,BEV,0.0
2040,DE,BEV,-0.0
2050,DE,BEV,37.2492705
2020,FR,BEV,12.6
2030,FR,BEV,22.05
2040,FR,BEV,14.175
2050,FR,BEV,31.04105875
2020,NO,BEV,0.0
2030,NO,BEV,0.0
2040,NO,BEV,0.0
2050,NO,BEV,5.121774693750001
2020,DK,BEV,0.0
2030,DK,BEV,0.0
2040,DK,BEV,0.0
2050,DK,BEV,5.587390575000001
2020,UK,BEV,15.3
2030,UK,BEV,26.775
2040,UK,BEV,21.6506475
2050,UK,BEV,27.936952875
2020,DE,LPGCar,24.492
2030,DE,LPGCar,41.367000000000004
2040,DE,LPGCar,32.39067
2050,DE,LPGCar,15.51567
2020,FR,LPGCar,14.4
2030,FR,LPGCar,25.200000000000003
2040,FR,LPGCar,25.220075
2050,FR,LPGCar,14.420075
2020,NO,LPGCar,3.6
2030,NO,LPGCar,6.300000000000001
2040,NO,LPGCar,4.453717125000001
2050,NO,LPGCar,1.7537171250000005
2020,DK,LPGCar,3.6738000000000004
2030,DK,LPGCar,6.373800000000001
2040,DK,LPGCar,4.8586005000000005
2050,DK,LPGCar,2.1586005000000004
2020,UK,LPGCar,11.700000000000001
2030,UK,LPGCar,20.475
2040,UK,LPGCar,17.020575
2050,UK,LPGCar,8.245575
2020,DE,BiomassGenerator,18.0
2030,DE,BiomassGenerator,18.0
2040,DE,BiomassGenerator,13.5
2050,DE,BiomassGenerator,6.75
2020,FR,BiomassGenerator,9.0
2030,FR,BiomassGenerator,9.0
2040,FR,BiomassGenerator,6.75
2050,FR,BiomassGenerator,3.375
2020,NO,BiomassGenerator,4.5
2030,NO,BiomassGenerator,4.5
2040,NO,BiomassGenerator,3.375
2050,NO,BiomassGenerator,1.6875
2020,DK,BiomassGenerator,4.5
2030,DK,BiomassGenerator,4.5
2040,DK,BiomassGenerator,3.375
2050,DK,BiomassGenerator,1.6875
2020,UK,BiomassGenerator,9.0
2030,UK,BiomassGenerator,9.0
2040,UK,BiomassGenerator,6.75
2050,UK,BiomassGenerator,3.375
2020,DE,BECCS,0.0
2030,DE,BECCS,0.0
2040,DE,BECCS,0.0
2050,DE,BECCS,0.0
2020,FR,BECCS,0.0
2030,FR,BECCS,0.0
2040,FR,BECCS,0.0
2050,FR,BECCS,0.0
2020,NO,BECCS,0.0
2030,NO,BECCS,0.0
2040,NO,BECCS,0.0
2050,NO,BECCS,0.0
2020,DK,BECCS,0.0
2030,DK,BECCS,0.0
2040,DK,BECCS,0.0
