Year,Region,Technology,value
2040,FR,CoalCHPPlant,17.316294261379152
2050,FR,CoalCHPPlant,7.191294261379152
2020,NO,CoalCHPPlant,0.0
2030,NO,CoalCHPPlant,0.0
2040,NO,CoalCHPPlant,0.0
2050,NO,CoalCHPPlant,0.0
2020,DK,CoalCHPPlant,9.095333333333329
2030,DK,CoalCHPPlant,9.095333333333329
2040,DK,CoalCHPPlant,6.845333333333329
2050,DK,CoalCHPPlant,1.782833333333329
2020,UK,CoalCHPPlant,51.41055962692012
2030,UK,CoalCHPPlant,51.56020849553074
2040,UK,CoalCHPPlant,48.53479712692015
2050,UK,CoalCHPPlant,36.49923750000003
2020,DE,GasCHPPlant,189.18000000000004
2030,DE,GasCHPPlant,191.22216561147502
2040,DE,GasCHPPlant,146.22216561147502
2050,DE,GasCHPPlant,44.97216561147502
2020,FR,GasCHPPlant,10.8
2030,FR,GasCHPPlant,14.03
2040,FR,GasCHPPlant,11.329999999999998
2050,FR,GasCHPPlant,5.254999999999999
2020,NO,GasCHPPlant,6.200000000000001
2030,NO,GasCHPPlant,6.200000000000001
2040,NO,GasCHPPlant,3.5000000000000004
2050,NO,GasCHPPlant,0.0
2020,DK,GasCHPPlant,17.13340238604323
2030,DK,GasCHPPlant,17.13340238604323
2040,DK,GasCHPPlant,11.508402386043231
2050,DK,GasCHPPlant,-0.0
2020,UK,GasCHPPlant,18.0
2030,UK,GasCHPPlant,20.657825928
2040,UK,GasCHPPlant,16.157825928
2050,UK,GasCHPPlant,6.032825928000001
2020,DE,CoalPowerPlantCC,0.0
2030,DE,CoalPowerPlantCC,0.0
2040,DE,CoalPowerPlantCC,0.0
2050,DE,CoalPowerPlantCC,0.0
2020,FR,CoalPowerPlantCC,0.0
2030,FR,CoalPowerPlantCC,-0.0
2040,FR,CoalPowerPlantCC,0.0
2050,FR,CoalPowerPlantCC,0.0
2020,NO,CoalPowerPlantCC,0.0
2030,NO,CoalPowerPlantCC,0.0
2040,NO,CoalPowerPlantCC,0.0
2050,NO,CoalPowerPlantCC,0.0
2020,DK,CoalPowerPlantCC,0.0
2030,DK,CoalPowerPlantCC,0.0
2040,DK,CoalPowerPlantCC,0.0
2050,DK,CoalPowerPlantCC,0.0
2020,UK,CoalPowerPlantCC,0.0
2030,UK,CoalPowerPlantCC,-0.0
2040,UK,CoalPowerPlantCC,0.0
2050,UK,CoalPowerPlantCC,0.0
2020,DE,GasPowerPlantCC,0.0
2030,DE,GasPowerPlantCC,-0.0
2040,DE,GasPowerPlantCC,-0.0
2050,DE,GasPowerPlantCC,0.0
2020,FR,GasPowerPlantCC,-0.0
2030,FR,GasPowerPlantCC,-0.0
2040,FR,GasPowerPlantCC,-0.0
2050,FR,GasPowerPlantCC,0.0
2020,NO,GasPowerPlantCC,9.262748154056881
2030,NO,GasPowerPlantCC,9.262748154056881
2040,NO,GasPowerPlantCC,9.262748154056881
2050,NO,GasPowerPlantCC,0.0
2020,DK,GasPowerPlantCC,0.0
2030,DK,GasPowerPlantCC,-0.0
2040,DK,GasPowerPlantCC,0.0
2050,DK,GasPowerPlantCC,0.0
2020,UK,GasPowerPlantCC,-0.0
2030,UK,GasPowerPlantCC,-0.0
2040,UK,GasPowerPlantCC,-0.0
2050,UK,GasPowerPlantCC,0.0
2020,DE,CoalCHPPlantCC,0.0
2030,DE,CoalCHPPlantCC,-0.0
2040,DE,CoalCHPPlantCC,-0.0
2050,DE,CoalCHPPlantCC,-0.0
2020,FR,CoalCHPPlantCC,15.113652200984182
2030,FR,CoalCHPPlantCC,15.11365220098418
2040,FR,CoalCHPPlantCC,15.113652200984186
2050,FR,CoalCHPPlantCC,15.113652200984186
2020,NO,CoalCHPPlantCC,0.0
2030,NO,CoalCHPPlantCC,0.0
2040,NO,CoalCHPPlantCC,0.0
2050,NO,CoalCHPPlantCC,0.0
2020,DK,CoalCHPPlantCC,-0.0
2030,DK,CoalCHPPlantCC,-0.0
2040,DK,CoalCHPPlantCC,0.0
2050,DK,CoalCHPPlantCC,0.0
2020,UK,CoalCHPPlantCC,40.194440373079885
2030,UK,CoalCHPPlantCC,40.194440373079885
2040,UK,CoalCHPPlantCC,40.194440373079864
2050,UK,CoalCHPPlantCC,1.605000000000004
2020,DE,GasCHPPlantCC,-0.0
2030,DE,GasCHPPlantCC,7.4168343885249985
2040,DE,GasCHPPlantCC,62.348784388525
2050,DE,GasCHPPlantCC,112.10822295648593
2020,FR,GasCHPPlantCC,-0.0
2030,FR,GasCHPPlantCC,3.6125000000000007
2040,FR,GasCHPPlantCC,18.09176480469238
2050,FR,GasCHPPlantCC,31.209570000000014
2020,NO,GasCHPPlantCC,4.6
2030,NO,GasCHPPlantCC,9.499
2040,NO,GasCHPPlantCC,9.9519
2050,NO,GasCHPPlantCC,10.24884
2020,DK,GasCHPPlantCC,9.227264280623436
2030,DK,GasCHPPlantCC,17.600597613956747
2040,DK,GasCHPPlantCC,24.962297613956768
2050,DK,GasCHPPlantCC,31.047502500000004
2020,UK,GasCHPPlantCC,-0.0
2030,UK,GasCHPPlantCC,4.5785
2040,UK,GasCHPPlantCC,24.171624072000004
2050,UK,GasCHPPlantCC,58.742941275251994
