constraint,binding,count
DemandAdequacy,Binding,15044
DemandAdequacy,Non-binding,1756
ProductionCost,Binding,20
TotalCapacityFunction,Binding,208
TotalCapacityFunction,Non-binding,192
RetrofitResidualCapacityFunction,Binding,89
RetrofitResidualCapacityFunction,Non-binding,51
ResidualCapacityFunction,Non-binding,134
ResidualCapacityFunction,Binding,286
ProductionFunction_res,Binding,45020
ProductionFunction_res,Non-binding,5380
UseFunction,Non-binding,309889
UseFunction,Binding,26111
AnnualTechnologyEmissions,Non-binding,400
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,39
TotalStorageCapacityFunction,Non-binding,21
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,78732
ImportExportBalance,Non-binding,5268
ProductionFuntion_disp,Binding,80267
ProductionFuntion_disp,Non-binding,205333
AnnualEmissionsLimitFunction,Non-binding,4
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,1
TotalSequesterLimitFunction,Non-binding,4
MaxCapacityFunction,Binding,97
MaxCapacityFunction,Non-binding,303
StorageChargeFunction,Non-binding,6518
StorageChargeFunction,Binding,682
StorageDischargeFunction,Non-binding,6283
StorageDischargeFunction,Binding,917
MaxStorageLevelFunction,Non-binding,7046
MaxStorageLevelFunction,Binding,154
StorageMaxCapacityConstraint,Non-binding,21
StorageMaxCapacityConstraint,Binding,39
MaxImportFunction,Non-binding,61183
MaxImportFunction,Binding,22817
TotalCost,Non-binding,20
Production,Non-binding,141146
Production,Binding,194854
NewCapacity,Non-binding,186
NewCapacity,Binding,214
ResidualCapacity,Non-binding,597
ResidualCapacity,Binding,103
TotalCapacity,Non-binding,378
TotalCapacity,Binding,22
Use,Binding,274769
Use,Non-binding,61231
Curtailment,Binding,15044
Curtailment,Non-binding,1756
TotalStorageEnergyCapacity,Non-binding,59
TotalStorageEnergyCapacity,Binding,1
NewStorageEnergyCapacity,Non-binding,58
NewStorageEnergyCapacity,Binding,2
StorageCharge,Binding,5767
StorageCharge,Non-binding,1433
StorageDischarge,Binding,4804
StorageDischarge,Non-binding,2396
StorageLevel,Non-binding,7004
StorageLevel,Binding,196
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,47592
Import,Binding,36408
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
