Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,810.8983698893117
2040,UK,Battery,48,Power,182.77041030103254
2040,DK,Battery,111,Power,200.1800900330098
2020,DE,H2Tank,55,H2,56.14778084282271
2040,DE,Battery,5,Power,199.90001999800012
2050,DE,PHS,54,Power,409.32468364035407
2050,UK,PHS,46,Power,124.57576099827095
2030,FR,H2Tank,75,H2,11.875
2050,DE,PHS,59,Power,452.19223933279704
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,9.8192118846045
2050,DE,Battery,1,Power,571.2738378991348
2020,DK,Battery,114,Power,7.590050217793694
2040,UK,Battery,23,Power,0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,13.118623689036845
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,2.118421052631579
2030,DE,H2Tank,11,H2,22.998193481320744
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,721.4951053976749
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,30.09664734602492
2050,FR,Battery,93,Power,1045.035110437825
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,-0.0
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,7.585497326018762
2030,NO,H2Tank,118,H2,14.365776369325005
2040,NO,Battery,103,Power,2.369045586705786
2050,NO,H2Tank,87,H2,148.13852368875
2030,FR,H2Tank,83,H2,46.92982456140351
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,39.3429742609291
2040,DK,Battery,105,Power,206.04981980786943
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,44.06065151342123
2030,DE,H2Tank,112,H2,10.023417358500001
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,22.265380897004153
2050,UK,H2Tank,7,H2,65.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,432.91317741902924
2030,DK,Battery,21,Power,0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,31.794889803338855
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,23.680629523075098
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,722.0003540507035
2020,DE,Battery,40,Power,-0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,124.61622807017545
2050,DE,PHS,65,Power,467.39865042257713
2030,DK,Battery,15,Power,0.0
2040,DE,Battery,49,Power,30.275786343490996
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,421.96556724712246
2040,UK,Battery,42,Power,163.33473764302357
2050,NO,H2Tank,93,H2,148.13852368875
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,36.10775810614035
2040,DE,H2Tank,110,H2,39.206730835863375
2020,DK,Battery,86,Power,9.50689367138349
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,0.037746304690208905
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,11.4375
2020,DK,Battery,60,Power,9.531644995293048
2050,DK,Battery,45,Power,212.18579072447272
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,104.02303987414487
2040,UK,Battery,79,Power,265.8292837185066
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,31.500786264097112
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,970.3578825759641
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,114.33662280701753
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,43.55742349782689
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,75.07504126650531
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,23.684210526315788
2020,DE,H2Tank,61,H2,47.70224931265229
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,137.7476843680188
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,50.0
2030,NO,H2Tank,61,H2,25.172835473413155
2040,FR,H2Tank,96,H2,0.7296679156078998
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,48.318551715130425
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,182.73385804667643
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,7.5
2040,DK,Battery,106,Power,206.02921482588863
2030,FR,Battery,68,Power,29.701997727232545
2050,UK,Battery,47,Power,392.2066532871786
2040,DE,H2Tank,98,H2,35.95921533693599
2050,NO,PHS,92,Power,424.50624561086363
2050,FR,PHS,83,Power,488.76313644237507
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,-0.0
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
2050,FR,Battery,55,Power,643.5259087076709
2030,NO,H2Tank,60,H2,33.36587375007982
2020,FR,PHS,80,Power,-0.0
2040,NO,PHS,51,Power,-0.0
2020,FR,PHS,93,Power,-0.0
2040,NO,H2Tank,106,H2,48.73142817724489
2020,DK,H2Tank,88,H2,0.0
2050,FR,H2Tank,76,H2,49.651025133930375
2050,DK,PHS,49,Power,62.26454560759886
2040,FR,Battery,30,Power,10.772828015881698
2030,UK,PHS,5,Power,-0.0
2050,DK,H2Tank,41,H2,35.946631202028875
2030,FR,Battery,101,Power,146.78351165509585
2030,UK,Battery,8,Power,44.247302492047574
2030,NO,PHS,19,Power,-0.0
2030,DK,H2Tank,10,H2,0.0
2020,DE,Battery,70,Power,-0.0
2030,FR,H2Tank,106,H2,46.92982456140351
2050,NO,PHS,31,Power,244.5034525419388
2040,FR,H2Tank,29,H2,26.73762311434567
2050,UK,PHS,56,Power,153.20095374532676
2040,UK,H2Tank,4,H2,15.0
2050,NO,PHS,80,Power,410.9747787162956
2050,DE,Battery,80,Power,1200.0
2020,DK,Battery,101,Power,8.525359243481185
2050,NO,H2Tank,114,H2,72.77905044061458
2050,FR,Battery,3,Power,423.95499952764084
2020,NO,H2Tank,46,H2,0.2055996490537508
2040,DE,Battery,102,Power,208.8980324419865
2040,FR,H2Tank,16,H2,52.37835379966964
2040,DE,Battery,7,Power,199.86004199300072
2050,NO,Battery,106,Power,111.51523399583792
2050,NO,PHS,4,Power,412.9614864445677
2040,UK,H2Tank,77,H2,21.375
2040,DE,Battery,78,Power,177.48533273148485
2030,NO,Battery,112,Power,-0.0
2040,FR,H2Tank,114,H2,50.62297841589287
2020,FR,H2Tank,105,H2,40.0
2020,NO,PHS,75,Power,-0.0
2050,FR,PHS,111,Power,504.5225827481454
2050,NO,Battery,12,Power,67.51442513193885
2040,DE,Battery,72,Power,168.03210933005604
2040,NO,H2Tank,29,H2,27.98244492163333
2040,NO,H2Tank,73,H2,11.277486423046685
2020,UK,H2Tank,28,H2,2.375
2030,DE,PHS,77,Power,-0.0
2030,DK,PHS,21,Power,0.0
2030,NO,Battery,119,Power,-0.0
2030,DE,H2Tank,79,H2,70.0
2040,NO,H2Tank,21,H2,6.163431140807941
2040,UK,Battery,97,Power,367.5886284705136
2050,DE,H2Tank,72,H2,0.0
2050,DK,H2Tank,55,H2,40.0
2040,FR,H2Tank,52,H2,42.93683760317077
