constraint,binding,count
DemandAdequacy,Binding,15309
DemandAdequacy,Non-binding,1491
ProductionCost,Binding,20
TotalCapacityFunction,Binding,212
TotalCapacityFunction,Non-binding,188
RetrofitResidualCapacityFunction,Binding,94
RetrofitResidualCapacityFunction,Non-binding,46
ResidualCapacityFunction,Non-binding,161
ResidualCapacityFunction,Binding,259
ProductionFunction_res,Binding,45609
ProductionFunction_res,Non-binding,4791
UseFunction,Non-binding,308692
UseFunction,Binding,27308
AnnualTechnologyEmissions,Non-binding,300
AnnualTechnologyEmissions,Binding,100
AnnualTechnologySequester,Non-binding,400
TotalEmissionsAccounting,Binding,1
TotalSequesterAccounting,Binding,5
TotalSequesterCostFunction,Binding,1
TotalStorageCapacityFunction,Binding,45
TotalStorageCapacityFunction,Non-binding,15
StorageLevelFunction,Binding,6545
StorageLevelFunction,Non-binding,595
StorageLevelStartFunction,Binding,55
StorageLevelStartFunction,Non-binding,5
StorageCostFunction,Binding,2
StorageCostFunction,Non-binding,1
StorageAnnualBalanceFunction,Binding,55
StorageAnnualBalanceFunction,Non-binding,5
ImportExportBalance,Binding,79527
ImportExportBalance,Non-binding,4473
ProductionFuntion_disp,Binding,81013
ProductionFuntion_disp,Non-binding,204587
AnnualEmissionsLimitFunction,Non-binding,3
AnnualEmissionsLimitFunction,Binding,1
TotalEmissionsLimitFunction,Binding,1
TotalSequesterLimitFunction,Binding,4
TotalSequesterLimitFunction,Non-binding,1
MaxCapacityFunction,Binding,81
MaxCapacityFunction,Non-binding,319
StorageChargeFunction,Non-binding,6652
StorageChargeFunction,Binding,548
StorageDischargeFunction,Binding,1010
StorageDischargeFunction,Non-binding,6190
MaxStorageLevelFunction,Non-binding,7056
MaxStorageLevelFunction,Binding,144
StorageMaxCapacityConstraint,Non-binding,31
StorageMaxCapacityConstraint,Binding,29
MaxImportFunction,Non-binding,65363
MaxImportFunction,Binding,18637
TotalCost,Non-binding,20
Production,Non-binding,143638
Production,Binding,192362
NewCapacity,Non-binding,174
NewCapacity,Binding,226
ResidualCapacity,Non-binding,602
ResidualCapacity,Binding,98
TotalCapacity,Non-binding,369
TotalCapacity,Binding,31
Use,Binding,278872
Use,Non-binding,57128
Curtailment,Binding,15309
Curtailment,Non-binding,1491
TotalStorageEnergyCapacity,Non-binding,60
NewStorageEnergyCapacity,Non-binding,53
NewStorageEnergyCapacity,Binding,7
StorageCharge,Binding,5970
StorageCharge,Non-binding,1230
StorageDischarge,Non-binding,2609
StorageDischarge,Binding,4591
StorageLevel,Non-binding,6948
StorageLevel,Binding,252
TotalStorageCost,Non-binding,2
TotalStorageCost,Binding,1
Import,Non-binding,51985
Import,Binding,32015
Export,Non-binding,84000
TotalEmissions,Non-binding,1
TotalSequester,Non-binding,5
TotalSequesterCost,Non-binding,1
