Year,Region,Technology,Hour,Fuel,value
2030,DE,Battery,67,Power,13.620094495395405
2020,FR,PHS,53,Power,-0.0
2030,NO,H2Tank,44,H2,-0.0
2040,NO,Battery,110,Power,-0.0
2050,NO,H2Tank,45,H2,11.14192872891394
2030,FR,Battery,93,Power,131.81040237365633
2020,UK,H2Tank,86,H2,8.394400532785827
2040,FR,H2Tank,118,H2,50.0
2040,DK,H2Tank,11,H2,11.0625
2020,DE,PHS,8,Power,-0.0
2040,DE,H2Tank,113,H2,17.610606386303314
2050,DK,PHS,104,Power,101.61368198915598
2050,NO,H2Tank,89,H2,145.4652169167763
2050,DK,Battery,52,Power,64.11116707783971
2050,DK,PHS,23,Power,53.11970774577593
2040,FR,Battery,98,Power,359.0722556151801
2030,NO,H2Tank,87,H2,0.6779885382499975
2020,FR,H2Tank,73,H2,-0.0
2040,NO,H2Tank,95,H2,31.82370751075
2040,UK,PHS,77,Power,-0.0
2050,UK,H2Tank,9,H2,65.0
2020,UK,Battery,53,Power,0.0
2020,DE,Battery,18,Power,0.0
2040,FR,H2Tank,24,H2,4.5014229612581484
2050,UK,PHS,75,Power,230.3301711245415
2040,DE,PHS,102,Power,-0.0
2030,UK,H2Tank,7,H2,2.721052631578953
2040,DE,H2Tank,25,H2,-0.0
2030,FR,PHS,74,Power,-0.0
2020,DK,PHS,75,Power,0.0
2020,UK,PHS,20,Power,-0.0
2050,DK,PHS,103,Power,101.71539738654253
2020,NO,Battery,68,Power,-0.0
2040,DK,Battery,96,Power,117.34864552492402
2030,NO,PHS,1,Power,-0.0
2050,FR,Battery,88,Power,1156.131716293196
2040,FR,PHS,37,Power,-0.0
2040,NO,Battery,81,Power,-0.0
2030,DE,Battery,60,Power,38.15784382549756
2030,FR,H2Tank,40,H2,15.193496458139954
2040,UK,Battery,111,Power,96.44335091694816
2050,UK,PHS,51,Power,163.01994426008275
2040,DK,H2Tank,99,H2,5.277517548214403
2030,DE,PHS,65,Power,-0.0
2040,UK,Battery,76,Power,45.650932923169094
2020,DK,H2Tank,85,H2,0.0
2020,UK,PHS,23,Power,-0.0
2020,UK,PHS,32,Power,-0.0
2030,NO,PHS,98,Power,-0.0
2040,DE,Battery,31,Power,113.25828113471476
2040,DK,H2Tank,74,H2,3.5625
2030,NO,H2Tank,93,H2,0.6779885382499975
2050,FR,Battery,73,Power,216.14441332691595
2050,NO,Battery,33,Power,-0.0
2030,DK,H2Tank,65,H2,0.0
2020,UK,PHS,111,Power,-0.0
2050,FR,PHS,117,Power,501.50300500751064
2050,DK,Battery,112,Power,164.78328905087264
2050,FR,PHS,22,Power,275.678138435943
2030,DK,PHS,8,Power,0.0
2020,UK,Battery,41,Power,-0.0
2020,NO,H2Tank,115,H2,0.506604960799999
2040,NO,H2Tank,37,H2,0.2775663345499997
2020,DK,Battery,84,Power,19.044964568106245
2030,FR,PHS,4,Power,-0.0
2040,NO,PHS,54,Power,-0.0
2030,DK,Battery,45,Power,9.496193018550011
2050,FR,PHS,47,Power,379.10899349377786
2030,UK,H2Tank,11,H2,5.571052631578953
2040,DE,H2Tank,120,H2,65.0
2020,NO,H2Tank,88,H2,0.506604960799999
2030,FR,Battery,106,Power,137.14353935333338
2020,FR,H2Tank,22,H2,-0.0
2050,FR,PHS,6,Power,438.3308234878303
2020,FR,Battery,50,Power,0.0
2020,UK,Battery,28,Power,-0.0
2020,UK,PHS,16,Power,-0.0
2030,FR,H2Tank,68,H2,8.680633229824561
2040,DE,Battery,100,Power,118.2691311366232
2040,DK,Battery,78,Power,171.18708730529687
2040,NO,Battery,117,Power,-0.0
2030,NO,H2Tank,54,H2,1.2568134701250002
2050,DE,Battery,46,Power,67.32725039459311
2040,DK,Battery,6,Power,112.02024242059052
2030,FR,PHS,27,Power,-0.0
2050,DK,H2Tank,68,H2,13.706140350877194
2050,DK,PHS,116,Power,100.40100200350564
2020,NO,Battery,102,Power,-0.0
2020,FR,Battery,117,Power,25.007501500250033
2040,UK,Battery,69,Power,28.5320659025136
2050,UK,Battery,59,Power,714.1742719346731
2030,FR,H2Tank,11,H2,18.450090417207182
2020,UK,H2Tank,89,H2,6.640014567873546
2050,DK,H2Tank,43,H2,14.800079620175442
2050,NO,PHS,87,Power,459.04818909129386
2040,DK,H2Tank,9,H2,7.5
2040,DK,H2Tank,2,H2,7.5
2050,DE,PHS,116,Power,602.4060120210337
2030,DK,H2Tank,81,H2,0.0
2040,DE,H2Tank,41,H2,82.1366636940351
2050,DE,H2Tank,50,H2,18.263298030964386
2030,UK,Battery,47,Power,41.540211426882
2040,DE,H2Tank,15,H2,64.78810630286378
2040,NO,Battery,26,Power,0.0
