Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,832.3910287618805
2040,UK,Battery,48,Power,199.18942709511228
2040,DK,Battery,111,Power,113.5350336784967
2020,DE,H2Tank,55,H2,52.20404879700462
2040,DE,Battery,5,Power,12.15801201937527
2050,DE,PHS,54,Power,398.7676655391733
2050,UK,PHS,46,Power,149.29353495683907
2030,FR,H2Tank,75,H2,11.874999999999998
2050,DE,PHS,59,Power,441.6879008574586
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,12.0
2050,DE,Battery,1,Power,448.72668000699247
2020,DK,Battery,114,Power,13.88923521459077
2040,UK,Battery,23,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,FR,H2Tank,98,H2,27.59457582457977
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,-0.0
2030,DE,H2Tank,11,H2,2.4188781460771778
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,489.55389991793356
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,21.383119495518034
2050,FR,Battery,93,Power,1114.6902064716544
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,4.091714735438596
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,25.0
2030,NO,H2Tank,118,H2,18.8789511985
2040,NO,Battery,103,Power,0.0
2050,NO,H2Tank,87,H2,139.58359441384684
2030,FR,H2Tank,83,H2,44.29824561403509
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,7.171896473024997
2040,DK,Battery,105,Power,113.60317854742024
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,4.653213284101894
2030,DE,H2Tank,112,H2,0.0
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,2.6285456304507475
2050,UK,H2Tank,7,H2,65.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,522.9915329759492
2030,DK,Battery,21,Power,0.19076474748519784
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,4.6541440663737275
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,55.00746288717026
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,23.326989812328932
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,489.89672476410095
2020,DE,Battery,40,Power,-0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,165.07971740896514
2050,DE,PHS,65,Power,492.9095698087454
2030,DK,Battery,15,Power,8.792454726168318
2040,DE,Battery,49,Power,-0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,57.414852262557936
2040,UK,Battery,42,Power,172.8722407678431
2050,NO,H2Tank,93,H2,113.4595659886171
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,23.98574561403509
2040,DE,H2Tank,110,H2,23.742912902693334
2020,DK,Battery,86,Power,34.239988159315374
2050,DK,PHS,8,Power,83.57131219119836
2040,DK,Battery,36,Power,50.3052302844439
2030,DE,PHS,83,Power,-0.0
2050,FR,PHS,4,Power,458.8460960495196
2040,DK,H2Tank,104,H2,11.4375
2020,DK,Battery,60,Power,11.382512016098056
2050,DK,Battery,45,Power,33.14259525572662
2030,NO,Battery,1,Power,-0.0
2050,UK,H2Tank,11,H2,108.00377964056251
2040,UK,Battery,79,Power,155.76433131622625
2020,NO,H2Tank,91,H2,0.506604960799999
2030,DE,H2Tank,42,H2,13.157894736842104
2020,NO,PHS,103,Power,-0.0
2050,FR,Battery,106,Power,1034.430364029147
2030,DK,PHS,59,Power,0.0
2030,DE,PHS,76,Power,-0.0
2030,NO,Battery,28,Power,-0.0
2030,UK,Battery,25,Power,-0.0
2050,FR,H2Tank,68,H2,121.27259390231987
2040,DE,PHS,55,Power,-0.0
2020,FR,PHS,79,Power,-0.0
2050,NO,H2Tank,54,H2,34.47868771068178
2020,DK,PHS,19,Power,0.0
2050,FR,PHS,27,Power,235.184756720715
2030,UK,Battery,110,Power,73.24159465824343
2030,UK,PHS,69,Power,-0.0
2020,NO,Battery,97,Power,-0.0
2030,DK,H2Tank,84,H2,0.0
2030,NO,Battery,105,Power,-0.0
2040,NO,PHS,46,Power,-0.0
2040,UK,H2Tank,46,H2,17.798070062859203
2020,DE,H2Tank,61,H2,31.268079432631577
2030,UK,H2Tank,81,H2,12.0
2030,FR,Battery,115,Power,75.03751125262549
2050,FR,H2Tank,11,H2,141.68177895811894
2030,DK,H2Tank,58,H2,0.0
2020,FR,PHS,114,Power,-0.0
2020,UK,Battery,103,Power,3.6115220968459436
2030,NO,H2Tank,61,H2,6.511591297025019
2040,FR,H2Tank,96,H2,25.559896028858233
2020,NO,Battery,17,Power,-0.0
2020,FR,Battery,86,Power,49.97000749900008
2020,FR,PHS,108,Power,-0.0
2040,NO,PHS,99,Power,-0.0
2040,UK,Battery,50,Power,199.14959120158755
2050,DK,H2Tank,81,H2,40.0
2040,DK,H2Tank,7,H2,11.0625
2040,DK,Battery,106,Power,113.5918182295655
2030,FR,Battery,68,Power,62.85135621708244
2050,UK,Battery,47,Power,293.52537872261234
2040,DE,H2Tank,98,H2,20.799731258062444
2050,NO,PHS,92,Power,57.76055031051129
2050,FR,PHS,83,Power,578.034022064839
2030,NO,PHS,110,Power,-0.0
2040,FR,PHS,87,Power,-0.0
2030,DK,H2Tank,66,H2,0.0
2020,FR,PHS,60,Power,-0.0
2020,NO,Battery,49,Power,-0.0
2040,NO,PHS,59,Power,-0.0
2030,DK,PHS,66,Power,0.0
2030,DE,H2Tank,49,H2,0.0
2050,FR,Battery,55,Power,697.3563363646646
2030,NO,H2Tank,60,H2,15.415100068954844
2020,FR,PHS,80,Power,-0.0
2040,NO,PHS,51,Power,-0.0
2020,FR,PHS,93,Power,-0.0
2040,NO,H2Tank,106,H2,7.171896473024997
2020,DK,H2Tank,88,H2,0.0
2050,FR,H2Tank,76,H2,82.61583424026048
2050,DK,PHS,49,Power,59.272030622591366
2040,FR,Battery,30,Power,2.6219485371000175
2030,UK,PHS,5,Power,-0.0
2050,DK,H2Tank,41,H2,21.653149795614038
2030,FR,Battery,101,Power,134.01424964818713
2030,UK,Battery,8,Power,46.06613281026237
2030,NO,PHS,19,Power,-0.0
2030,DK,H2Tank,10,H2,0.0
2020,DE,Battery,70,Power,0.0
2030,FR,H2Tank,106,H2,46.92982456140351
2050,NO,PHS,31,Power,30.516693434670916
2040,FR,H2Tank,29,H2,32.6039085657962
2050,UK,PHS,56,Power,177.67265930318896
2040,UK,H2Tank,4,H2,8.183429470877192
2050,NO,PHS,80,Power,56.77072553617284
2050,DE,Battery,80,Power,903.7511279010447
2020,DK,Battery,101,Power,22.985264291701256
2050,NO,H2Tank,114,H2,67.16741725711243
2050,FR,Battery,3,Power,425.04910620192146
2020,NO,H2Tank,46,H2,0.20559964905374944
2040,DE,Battery,102,Power,92.57494906021923
2040,FR,H2Tank,16,H2,65.81840403035088
2040,DE,Battery,7,Power,0.0
2050,NO,Battery,106,Power,14.428590179879949
2050,NO,PHS,4,Power,51.542090515033834
2040,UK,H2Tank,77,H2,21.375
2040,DE,Battery,78,Power,135.84253059573442
2030,NO,Battery,112,Power,-0.0
2040,FR,H2Tank,114,H2,19.800721493238573
2020,FR,H2Tank,105,H2,36.868666126177544
2020,NO,PHS,75,Power,-0.0
2050,FR,PHS,111,Power,504.5225827481454
2050,NO,Battery,12,Power,4.7807965248161866
2040,DE,Battery,72,Power,72.71498392102362
2040,NO,H2Tank,29,H2,0.752921957075001
2040,NO,H2Tank,73,H2,0.0
2020,UK,H2Tank,28,H2,-0.0
2030,DE,PHS,77,Power,-0.0
2030,DK,PHS,21,Power,0.0
2030,NO,Battery,119,Power,-0.0
2030,DE,H2Tank,79,H2,69.11001540419998
2040,NO,H2Tank,21,H2,-0.0
2040,UK,Battery,97,Power,261.7109389553161
2050,DE,H2Tank,72,H2,0.0
2050,DK,H2Tank,55,H2,40.0
2040,FR,H2Tank,52,H2,41.90984533760833
2050,NO,PHS,72,Power,50.45672345496539
2020,UK,H2Tank,112,H2,5.0
2020,DK,Battery,20,Power,-0.0
2050,UK,PHS,25,Power,98.18782721370974
2040,DK,PHS,29,Power,0.0
2040,DK,Battery,63,Power,133.2570166440173
2040,NO,Battery,42,Power,-0.0
2030,DK,Battery,33,Power,24.159671479002736
2020,DE,PHS,103,Power,-0.0
2030,DE,PHS,53,Power,-0.0
2030,NO,Battery,11,Power,-0.0
2030,NO,PHS,25,Power,-0.0
2030,UK,H2Tank,95,H2,-0.0
2020,FR,H2Tank,86,H2,35.47792371824561
2040,DK,PHS,7,Power,0.0
2030,UK,Battery,6,Power,46.07534741899269
2030,DK,Battery,70,Power,24.342675487248506
2040,UK,PHS,101,Power,-0.0
2030,UK,PHS,6,Power,-0.0
2030,UK,H2Tank,88,H2,1.3747359682982232
2030,UK,Battery,98,Power,111.69058880769173
2050,DE,H2Tank,93,H2,175.0
2040,UK,PHS,4,Power,-0.0
2030,FR,H2Tank,49,H2,0.0
2050,NO,Battery,13,Power,4.780318445163705
2030,UK,H2Tank,26,H2,0.0
2050,UK,H2Tank,58,H2,130.0
2040,NO,Battery,24,Power,0.0
2030,DE,H2Tank,9,H2,2.4188781460771778
2050,DK,PHS,77,Power,99.0725090597103
2020,DE,PHS,118,Power,-0.0
2040,NO,H2Tank,42,H2,-0.0
2020,DE,H2Tank,18,H2,-0.0
2050,NO,Battery,71,Power,8.239471832817594
2030,UK,Battery,57,Power,92.7711694016102
2020,DE,PHS,113,Power,-0.0
2050,DK,H2Tank,103,H2,39.90664404096652
2050,UK,H2Tank,71,H2,13.706140350877194
2050,DE,PHS,67,Power,509.9152435786977
2020,NO,H2Tank,28,H2,0.20559964905374944
2050,DE,PHS,101,Power,611.5148024092714
2020,UK,H2Tank,99,H2,2.6296486278807274
2050,DK,PHS,119,Power,100.10010010010011
2050,FR,PHS,92,Power,514.2050458337458
2050,DE,PHS,52,Power,381.5393627252611
2050,UK,H2Tank,72,H2,13.706140350877194
2040,UK,H2Tank,91,H2,6.31578947368421
2020,UK,Battery,64,Power,-0.0
2030,DK,PHS,41,Power,0.0
2050,FR,PHS,62,Power,438.72067552597247
2040,DK,H2Tank,93,H2,11.052631578947368
2050,DK,PHS,114,Power,100.60210561262528
2030,NO,PHS,119,Power,-0.0
2050,NO,Battery,116,Power,8.28470769884271
2040,FR,H2Tank,28,H2,12.971264512660376
2020,DK,Battery,71,Power,11.36999751138422
2030,DK,H2Tank,70,H2,0.0
2040,DK,H2Tank,69,H2,8.223684210526315
2030,DK,Battery,79,Power,79.066729514824
2050,DK,H2Tank,97,H2,24.057838085453053
2020,DE,PHS,115,Power,-0.0
2030,DK,H2Tank,3,H2,0.0
2020,NO,PHS,86,Power,-0.0
2020,DK,Battery,88,Power,34.233140504083394
2030,NO,PHS,93,Power,-0.0
2030,NO,H2Tank,27,H2,0.24720267326243525
2030,UK,H2Tank,39,H2,5.768262287192984
2040,DE,H2Tank,59,H2,130.0
2030,DK,Battery,82,Power,96.00999051779745
2050,DK,Battery,48,Power,0.0
2030,DK,PHS,100,Power,0.0
2020,NO,Battery,92,Power,-0.0
2040,DE,Battery,13,Power,0.0
2030,FR,PHS,8,Power,-0.0
2030,DK,PHS,54,Power,0.0
2020,NO,H2Tank,72,H2,0.20559964905374944
2020,UK,PHS,108,Power,-0.0
2040,DE,PHS,98,Power,-0.0
2020,UK,PHS,41,Power,-0.0
2040,DK,Battery,57,Power,188.62438779110556
2020,NO,PHS,117,Power,-0.0
2030,UK,PHS,67,Power,-0.0
2020,FR,PHS,89,Power,-0.0
2020,NO,PHS,85,Power,-0.0
2030,FR,Battery,28,Power,-0.0
2040,NO,Battery,20,Power,0.0
2020,UK,PHS,72,Power,-0.0
2040,DE,PHS,86,Power,-0.0
2050,DE,Battery,42,Power,164.67922521296666
2030,UK,Battery,67,Power,68.83455436874735
2040,FR,Battery,66,Power,186.9024134290866
2030,DK,H2Tank,101,H2,0.0
2040,NO,PHS,106,Power,-0.0
2020,UK,H2Tank,116,H2,5.0
2050,DE,H2Tank,28,H2,43.852651627457064
2050,DK,H2Tank,87,H2,40.0
2040,DE,Battery,50,Power,11.139033813612363
2020,DE,Battery,64,Power,-0.0
2040,UK,Battery,30,Power,19.34912527776379
2020,NO,PHS,20,Power,-0.0
2020,UK,Battery,101,Power,3.6122445096254228
2020,UK,PHS,96,Power,-0.0
2050,DK,Battery,99,Power,138.22302455444463
2030,NO,PHS,10,Power,-0.0
2040,NO,PHS,82,Power,-0.0
2040,DE,Battery,15,Power,0.0
2040,DE,H2Tank,106,H2,67.36701655743018
2030,DE,H2Tank,71,H2,-0.0
2050,UK,PHS,71,Power,219.71250535779254
2030,DE,PHS,87,Power,-0.0
2040,DE,Battery,76,Power,114.65208643439121
2030,UK,H2Tank,20,H2,0.916180398117194
2050,UK,Battery,40,Power,293.73092869948647
2030,DE,Battery,81,Power,30.425063135889243
2040,NO,H2Tank,22,H2,-0.0
2050,UK,H2Tank,76,H2,58.29412005483334
2050,FR,PHS,21,Power,285.7678278324029
2040,NO,PHS,24,Power,-0.0
2050,DE,H2Tank,45,H2,20.559210526315788
2020,FR,PHS,110,Power,-0.0
2030,DE,H2Tank,3,H2,35.0
2040,UK,H2Tank,53,H2,14.25
2040,UK,PHS,112,Power,-0.0
2020,NO,Battery,69,Power,-0.0
2020,DK,Battery,69,Power,11.372271852031908
2040,DE,Battery,71,Power,100.23398012903651
2040,FR,Battery,104,Power,400.0
2040,DK,Battery,14,Power,8.159311431143117
2020,DE,PHS,18,Power,-0.0
2020,FR,H2Tank,4,H2,13.964902320259565
2020,FR,Battery,75,Power,20.53552645489201
2050,FR,H2Tank,84,H2,200.0
2040,DE,Battery,9,Power,0.0
2020,DE,PHS,85,Power,-0.0
2030,DK,H2Tank,91,H2,0.0
2040,UK,Battery,112,Power,200.16007202400652
2020,DE,H2Tank,101,H2,29.704675461
2020,NO,Battery,9,Power,-0.0
2020,DK,PHS,35,Power,0.0
2050,FR,H2Tank,82,H2,200.0
2020,DK,H2Tank,1,H2,0.0
2030,NO,Battery,118,Power,-0.0
2050,FR,PHS,100,Power,510.10577444884177
2050,DE,Battery,3,Power,360.97348303188716
2040,NO,Battery,62,Power,0.0
2040,FR,H2Tank,54,H2,89.40984533760833
2030,DE,H2Tank,83,H2,51.578947368421055
2050,DE,PHS,5,Power,538.2999940618113
2020,FR,PHS,50,Power,-0.0
2050,FR,H2Tank,2,H2,100.0
2020,NO,H2Tank,10,H2,0.2399707709052627
2030,DE,Battery,120,Power,30.30663056157255
2020,NO,H2Tank,113,H2,0.506604960799999
2040,FR,H2Tank,30,H2,56.3539085657962
2050,DE,Battery,110,Power,452.3276881454779
2050,NO,H2Tank,76,H2,92.86044770755119
2030,NO,PHS,105,Power,-0.0
2030,UK,H2Tank,31,H2,11.399999999999999
2030,UK,H2Tank,33,H2,8.842105263157894
2040,DK,Battery,104,Power,113.61454000142038
2020,DK,H2Tank,42,H2,0.0
2020,DE,Battery,52,Power,0.0
2050,DK,H2Tank,39,H2,28.506219971052634
2040,DE,Battery,107,Power,92.52867084225832
2050,NO,Battery,30,Power,-0.0
2050,NO,Battery,87,Power,14.45603193474362
2020,DK,H2Tank,48,H2,0.0
2030,FR,H2Tank,64,H2,27.63157894736841
2040,DK,PHS,40,Power,0.0
2050,NO,H2Tank,59,H2,112.74105158893242
2030,UK,Battery,20,Power,0.3596013056861233
2040,DE,H2Tank,100,H2,41.782517116896855
2020,NO,Battery,80,Power,-0.0
2020,DK,Battery,30,Power,2.4343280449091527
2030,FR,PHS,1,Power,-0.0
2040,NO,Battery,85,Power,-0.0
2040,UK,PHS,102,Power,-0.0
2050,FR,H2Tank,51,H2,55.07722282684032
2040,FR,H2Tank,46,H2,18.696687067615027
2040,NO,Battery,31,Power,-0.0
2020,DE,H2Tank,33,H2,22.166944059705465
2020,DE,Battery,32,Power,-0.0
2040,NO,Battery,57,Power,-0.0
2050,UK,PHS,79,Power,241.87711276671544
2030,DE,H2Tank,87,H2,23.801402060698802
2020,UK,Battery,77,Power,4.6546095273264605
2020,DK,Battery,72,Power,10.523852966596044
2020,UK,Battery,26,Power,-0.0
2020,FR,PHS,105,Power,-0.0
2050,DK,Battery,90,Power,138.3474874997183
2030,UK,H2Tank,61,H2,8.771929824561411
2020,NO,Battery,34,Power,-0.0
2040,DE,H2Tank,69,H2,48.73511133438597
2040,DK,Battery,5,Power,112.15955042245771
2040,UK,PHS,92,Power,-0.0
2050,DE,H2Tank,1,H2,87.5
2040,FR,H2Tank,95,H2,25.559896028858233
2030,DK,PHS,91,Power,0.0
2030,DK,PHS,94,Power,0.0
2040,FR,PHS,12,Power,-0.0
2040,NO,H2Tank,40,H2,0.752921957075001
