Year,Hour,From,To,Fuel,value
2040,37,DE,DE,Power,-0.0
2050,37,DE,DE,Power,-0.0
2020,38,DE,DE,Power,-0.0
2030,38,DE,DE,Power,-0.0
2040,38,DE,DE,Power,-0.0
2050,38,DE,DE,Power,-0.0
2020,39,DE,DE,Power,-0.0
2030,39,DE,DE,Power,-0.0
2040,39,DE,DE,Power,-0.0
2050,39,DE,DE,Power,-0.0
2020,40,DE,DE,Power,-0.0
2030,40,DE,DE,Power,-0.0
2040,40,DE,DE,Power,-0.0
2050,40,DE,DE,Power,-0.0
2020,41,DE,DE,Power,-0.0
2030,41,DE,DE,Power,-0.0
2040,41,DE,DE,Power,-0.0
2050,41,DE,DE,Power,-0.0
2020,42,DE,DE,Power,-0.0
2030,42,DE,DE,Power,-0.0
2040,42,DE,DE,Power,-0.0
2050,42,DE,DE,Power,-0.0
2020,43,DE,DE,Power,-0.0
2030,43,DE,DE,Power,-0.0
2040,43,DE,DE,Power,-0.0
2050,43,DE,DE,Power,-0.0
2020,44,DE,DE,Power,-0.0
2030,44,DE,DE,Power,-0.0
2040,44,DE,DE,Power,-0.0
2050,44,DE,DE,Power,-0.0
2020,45,DE,DE,Power,-0.0
2030,45,DE,DE,Power,-0.0
2040,45,DE,DE,Power,-0.0
2050,45,DE,DE,Power,-0.0
2020,46,DE,DE,Power,-0.0
2030,46,DE,DE,Power,-0.0
2040,46,DE,DE,Power,-0.0
2050,46,DE,DE,Power,-0.0
2020,47,DE,DE,Power,-0.0
2030,47,DE,DE,Power,-0.0
2040,47,DE,DE,Power,-0.0
2050,47,DE,DE,Power,-0.0
2020,48,DE,DE,Power,-0.0
2030,48,DE,DE,Power,-0.0
2040,48,DE,DE,Power,-0.0
2050,48,DE,DE,Power,-0.0
2020,49,DE,DE,Power,-0.0
2030,49,DE,DE,Power,-0.0
2040,49,DE,DE,Power,-0.0
2050,49,DE,DE,Power,-0.0
2020,50,DE,DE,Power,-0.0
2030,50,DE,DE,Power,-0.0
2040,50,DE,DE,Power,-0.0
2050,50,DE,DE,Power,-0.0
2020,51,DE,DE,Power,-0.0
2030,51,DE,DE,Power,-0.0
2040,51,DE,DE,Power,-0.0
2050,51,DE,DE,Power,-0.0
2020,52,DE,DE,Power,-0.0
2030,52,DE,DE,Power,-0.0
2040,52,DE,DE,Power,-0.0
2050,52,DE,DE,Power,-0.0
2020,53,DE,DE,Power,-0.0
2030,53,DE,DE,Power,-0.0
2040,53,DE,DE,Power,-0.0
2050,53,DE,DE,Power,-0.0
2020,54,DE,DE,Power,-0.0
2030,54,DE,DE,Power,-0.0
2040,54,DE,DE,Power,-0.0
2050,54,DE,DE,Power,-0.0
2020,55,DE,DE,Power,-0.0
2030,55,DE,DE,Power,-0.0
2040,55,DE,DE,Power,-0.0
2050,55,DE,DE,Power,-0.0
2020,56,DE,DE,Power,-0.0
2030,56,DE,DE,Power,-0.0
2040,56,DE,DE,Power,-0.0
2050,56,DE,DE,Power,-0.0
2020,57,DE,DE,Power,-0.0
2030,57,DE,DE,Power,-0.0
2040,57,DE,DE,Power,-0.0
2050,57,DE,DE,Power,-0.0
2020,58,DE,DE,Power,-0.0
2030,58,DE,DE,Power,-0.0
2040,58,DE,DE,Power,-0.0
2050,58,DE,DE,Power,-0.0
2020,59,DE,DE,Power,-0.0
2030,59,DE,DE,Power,-0.0
2040,59,DE,DE,Power,-0.0
2050,59,DE,DE,Power,-0.0
2020,60,DE,DE,Power,-0.0
2030,60,DE,DE,Power,-0.0
2040,60,DE,DE,Power,-0.0
2050,60,DE,DE,Power,-0.0
2020,61,DE,DE,Power,-0.0
2030,61,DE,DE,Power,-0.0
2040,61,DE,DE,Power,-0.0
2050,61,DE,DE,Power,-0.0
2020,62,DE,DE,Power,-0.0
2030,62,DE,DE,Power,-0.0
2040,62,DE,DE,Power,-0.0
2050,62,DE,DE,Power,-0.0
2020,63,DE,DE,Power,-0.0
2030,63,DE,DE,Power,-0.0
2040,63,DE,DE,Power,-0.0
2050,63,DE,DE,Power,-0.0
2020,64,DE,DE,Power,-0.0
2030,64,DE,DE,Power,-0.0
2040,64,DE,DE,Power,-0.0
2050,64,DE,DE,Power,-0.0
2020,65,DE,DE,Power,-0.0
2030,65,DE,DE,Power,-0.0
2040,65,DE,DE,Power,-0.0
2050,65,DE,DE,Power,-0.0
2020,66,DE,DE,Power,-0.0
2030,66,DE,DE,Power,-0.0
2040,66,DE,DE,Power,-0.0
2050,66,DE,DE,Power,-0.0
2020,67,DE,DE,Power,-0.0
2030,67,DE,DE,Power,-0.0
2040,67,DE,DE,Power,-0.0
2050,67,DE,DE,Power,-0.0
2020,68,DE,DE,Power,-0.0
2030,68,DE,DE,Power,-0.0
2040,68,DE,DE,Power,-0.0
2050,68,DE,DE,Power,-0.0
2020,69,DE,DE,Power,-0.0
2030,69,DE,DE,Power,-0.0
2040,69,DE,DE,Power,-0.0
2050,69,DE,DE,Power,-0.0
2020,70,DE,DE,Power,-0.0
2030,70,DE,DE,Power,-0.0
2040,70,DE,DE,Power,-0.0
2050,70,DE,DE,Power,-0.0
2020,71,DE,DE,Power,-0.0
2030,71,DE,DE,Power,-0.0
2040,71,DE,DE,Power,-0.0
2050,71,DE,DE,Power,-0.0
2020,72,DE,DE,Power,-0.0
2030,72,DE,DE,Power,-0.0
2040,72,DE,DE,Power,-0.0
2050,72,DE,DE,Power,-0.0
2020,73,DE,DE,Power,-0.0
2030,73,DE,DE,Power,-0.0
2040,73,DE,DE,Power,-0.0
2050,73,DE,DE,Power,-0.0
2020,74,DE,DE,Power,-0.0
2030,74,DE,DE,Power,-0.0
2040,74,DE,DE,Power,-0.0
2050,74,DE,DE,Power,-0.0
2020,75,DE,DE,Power,-0.0
2030,75,DE,DE,Power,-0.0
2040,75,DE,DE,Power,-0.0
2050,75,DE,DE,Power,-0.0
2020,76,DE,DE,Power,-0.0
2030,76,DE,DE,Power,-0.0
2040,76,DE,DE,Power,-0.0
2050,76,DE,DE,Power,-0.0
2020,77,DE,DE,Power,-0.0
2030,77,DE,DE,Power,-0.0
2040,77,DE,DE,Power,-0.0
2050,77,DE,DE,Power,-0.0
2020,78,DE,DE,Power,-0.0
2030,78,DE,DE,Power,-0.0
2040,78,DE,DE,Power,-0.0
2050,78,DE,DE,Power,-0.0
2020,79,DE,DE,Power,-0.0
2030,79,DE,DE,Power,-0.0
2040,79,DE,DE,Power,-0.0
2050,79,DE,DE,Power,-0.0
2020,80,DE,DE,Power,-0.0
2030,80,DE,DE,Power,-0.0
2040,80,DE,DE,Power,-0.0
2050,80,DE,DE,Power,-0.0
2020,81,DE,DE,Power,-0.0
2030,81,DE,DE,Power,-0.0
2040,81,DE,DE,Power,-0.0
2050,81,DE,DE,Power,-0.0
2020,82,DE,DE,Power,-0.0
2030,82,DE,DE,Power,-0.0
2040,82,DE,DE,Power,-0.0
2050,82,DE,DE,Power,-0.0
2020,83,DE,DE,Power,-0.0
2030,83,DE,DE,Power,-0.0
2040,83,DE,DE,Power,-0.0
2050,83,DE,DE,Power,-0.0
2020,84,DE,DE,Power,-0.0
2030,84,DE,DE,Power,-0.0
2040,84,DE,DE,Power,-0.0
2050,84,DE,DE,Power,-0.0
2020,85,DE,DE,Power,-0.0
2030,85,DE,DE,Power,-0.0
2040,85,DE,DE,Power,-0.0
2050,85,DE,DE,Power,-0.0
2020,86,DE,DE,Power,-0.0
2030,86,DE,DE,Power,-0.0
2040,86,DE,DE,Power,-0.0
2050,86,DE,DE,Power,-0.0
2020,87,DE,DE,Power,-0.0
2030,87,DE,DE,Power,-0.0
2040,87,DE,DE,Power,-0.0
2050,87,DE,DE,Power,-0.0
2020,88,DE,DE,Power,-0.0
2030,88,DE,DE,Power,-0.0
2040,88,DE,DE,Power,-0.0
2050,88,DE,DE,Power,-0.0
2020,89,DE,DE,Power,-0.0
2030,89,DE,DE,Power,-0.0
2040,89,DE,DE,Power,-0.0
2050,89,DE,DE,Power,-0.0
2020,90,DE,DE,Power,-0.0
2030,90,DE,DE,Power,-0.0
2040,90,DE,DE,Power,-0.0
2050,90,DE,DE,Power,-0.0
2020,91,DE,DE,Power,-0.0
2030,91,DE,DE,Power,-0.0
2040,91,DE,DE,Power,-0.0
2050,91,DE,DE,Power,-0.0
2020,92,DE,DE,Power,-0.0
2030,92,DE,DE,Power,-0.0
2040,92,DE,DE,Power,-0.0
2050,92,DE,DE,Power,-0.0
2020,93,DE,DE,Power,-0.0
2030,93,DE,DE,Power,-0.0
2040,93,DE,DE,Power,-0.0
2050,93,DE,DE,Power,-0.0
2020,94,DE,DE,Power,-0.0
2030,94,DE,DE,Power,-0.0
2040,94,DE,DE,Power,-0.0
2050,94,DE,DE,Power,-0.0
2020,95,DE,DE,Power,-0.0
2030,95,DE,DE,Power,-0.0
