Year,Region,Technology,Hour,Fuel,value
2050,UK,Battery,60,Power,915.3932228773184
2040,UK,Battery,48,Power,0.2524137688772008
2040,DK,Battery,111,Power,9.555240568221746
2020,DE,H2Tank,55,H2,57.620194015165076
2040,DE,Battery,5,Power,74.96250749925005
2050,DE,PHS,54,Power,407.72275544921837
2050,UK,PHS,46,Power,144.14470480895991
2030,FR,H2Tank,75,H2,10.632954458999762
2050,DE,PHS,59,Power,450.5983047793464
2050,FR,PHS,13,Power,366.8497859226878
2040,NO,PHS,21,Power,-0.0
2030,UK,H2Tank,55,H2,8.022657074344
2050,DE,Battery,1,Power,562.3980117486998
2020,DK,Battery,114,Power,8.07742548279363
2040,UK,Battery,23,Power,2.5401242647080133
2020,DE,Battery,112,Power,2.818347292582348
2020,FR,H2Tank,98,H2,28.3711464053941
2040,DK,PHS,117,Power,0.0
2050,FR,H2Tank,109,H2,200.0
2020,DE,PHS,2,Power,-0.0
2020,NO,PHS,35,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,UK,H2Tank,18,H2,3.8460479319421794
2030,DE,H2Tank,11,H2,70.0
2040,NO,PHS,100,Power,-0.0
2050,DE,Battery,67,Power,689.5609576541382
2040,FR,PHS,28,Power,-0.0
2050,NO,H2Tank,44,H2,34.590752872112496
2050,FR,Battery,93,Power,1074.9846856186007
2030,DE,PHS,92,Power,-0.0
2040,UK,H2Tank,25,H2,4.238269387265235
2020,NO,Battery,41,Power,-0.0
2040,DE,PHS,6,Power,-0.0
2020,DK,Battery,120,Power,8.072580238956245
2030,NO,H2Tank,118,H2,-0.0
2040,NO,Battery,103,Power,-0.0
2050,NO,H2Tank,87,H2,148.65324032032893
2030,FR,H2Tank,83,H2,50.0
2020,DE,PHS,90,Power,-0.0
2040,NO,H2Tank,109,H2,29.8798184177625
2040,DK,Battery,105,Power,9.560975719698412
2040,DE,PHS,72,Power,-0.0
2020,UK,Battery,80,Power,20.640403708558843
2030,DE,H2Tank,112,H2,30.077753928787313
2030,DK,PHS,4,Power,0.0
2030,FR,Battery,7,Power,38.276226765738656
2050,UK,H2Tank,7,H2,65.0
2020,NO,PHS,33,Power,-0.0
2050,FR,PHS,74,Power,496.0380723045118
2030,DK,Battery,21,Power,-0.0
2030,FR,Battery,119,Power,75.00750075007501
2030,NO,PHS,40,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,UK,Battery,78,Power,20.644532408595236
2040,UK,PHS,58,Power,-0.0
2030,UK,H2Tank,79,H2,12.0
2050,NO,PHS,1,Power,440.7264705882353
2030,DK,PHS,28,Power,0.0
2020,DE,H2Tank,4,H2,26.347443993860846
2040,NO,PHS,113,Power,-0.0
2030,DK,H2Tank,20,H2,0.0
2050,DE,Battery,60,Power,690.0438434595017
2020,DE,Battery,40,Power,0.0
2030,UK,H2Tank,80,H2,12.0
2020,NO,PHS,7,Power,-0.0
2050,FR,H2Tank,40,H2,153.60468105925327
2050,DE,PHS,65,Power,470.6648300323495
2030,DK,Battery,15,Power,-0.0
2040,DE,Battery,49,Power,-0.0
2040,DK,PHS,120,Power,-0.0
2050,NO,PHS,98,Power,451.5594700388723
2040,UK,Battery,42,Power,17.55965845446513
2050,NO,H2Tank,93,H2,148.65324032032893
2040,DK,PHS,12,Power,0.0
2050,DK,H2Tank,65,H2,25.622437834632706
2040,DE,H2Tank,110,H2,65.0
