Year,Region,Technology,value
2020,NO,GasPowerPlantCC,674.3683597154889
2030,NO,GasPowerPlantCC,540.8686232639689
2040,NO,GasPowerPlantCC,230.44251239224874
2020,FR,CoalCHPPlantCC,2105.560077046746
2030,FR,CoalCHPPlantCC,1357.5789021861833
2040,FR,CoalCHPPlantCC,560.102811596627
2020,UK,CoalCHPPlantCC,5505.387911656635
2030,UK,CoalCHPPlantCC,3501.57023923416
2040,UK,CoalCHPPlantCC,2586.9200555444263
2030,DE,GasCHPPlantCC,715.510785640206
2040,DE,GasCHPPlantCC,3131.962503839314
2050,DE,GasCHPPlantCC,2449.2671052048977
2030,FR,GasCHPPlantCC,279.7222588823469
2040,FR,GasCHPPlantCC,823.3799400862966
2050,FR,GasCHPPlantCC,429.56010201789474
2020,NO,GasCHPPlantCC,465.1937389606411
2030,NO,GasCHPPlantCC,604.0565763371061
2040,NO,GasCHPPlantCC,482.17013955370277
2050,NO,GasCHPPlantCC,145.27404141363127
2020,DK,GasCHPPlantCC,614.829952493547
2030,DK,GasCHPPlantCC,862.239588234954
2040,DK,GasCHPPlantCC,1072.5230249999986
2050,DK,GasCHPPlantCC,425.0588444431065
2030,UK,GasCHPPlantCC,301.44350667792867
2040,UK,GasCHPPlantCC,1157.141746335973
2050,UK,GasCHPPlantCC,824.3654055083691
